kit_number,player_name,position,Date of birth / Age,nationality,height,foot,joined,signed_from,contract,market_value,club_name
23,Bayu Gatra,Right Winger,"Nov 12, 1991 (31)",Indonesia,"1,67m",right,14-Mar-21,PSM Makassar,2024,€100k,Madura United FC
25,Riski Afrisal,Attacking Midfield,"Apr 25, 2006 (17)",Indonesia,"1,69m",right,1-Jul-23,Without Club,-,-,Madura United FC
26,Novan Sasongko,Left-Back,"Nov 26, 1989 (33)",Indonesia,"1,70m",right,20-May-21,Persela Lamongan,2024,€75k,Madura United FC
27,Make Aldo Maulidino,Centre-Forward,"Jul 22, 1998 (24)",Indonesia,"1,70m",right,19-Feb-21,Without Club,2024,€25k,Madura United FC
28,Kartika Vedhayanto,Right-Back,"Jan 25, 2002 (21)",Indonesia,"1,72m",right,1-Jul-23,PSIS Semarang,-,€50k,Madura United FC
29,Raihan Ashari,Midfield,,Indonesia,-,,1-Jul-23,Depok City FC,-,-,Madura United FC
30,Salim Tuharea,Left Winger,,Indonesia,-,,1-Jan-23,Depok City FC,2024,€25k,Madura United FC
31,Yuda Editya Pratama,Centre-Forward,"May 31, 2004 (19)",Indonesia,"1,81m",right,1-Jul-23,Borneo FC Samarinda,31-Mar-24,€25k,Madura United FC
32,Muhammad Tahir,Central Midfield,"Jan 4, 1994 (29)",Indonesia,"1,70m",right,1-Jul-23,Persipura Jayapura,-,€150k,Madura United FC
33,Koko Ari,Right-Back,"Jan 9, 2000 (23)",Indonesia,"1,78m",right,1-Jul-23,Persebaya Surabaya,-,€225k,Madura United FC
42,Feby Ramzy,Defensive Midfield,"Feb 4, 2002 (21)",Indonesia,"1,67m",right,1-Jan-22,Persepam Pamekasan,2024,€25k,Madura United FC
59,Andrian Casvari,Goalkeeper,,Indonesia,-,,1-Jul-23,Without Club,-,-,Madura United FC
60,Fawaid Ansory,Goalkeeper,"Sep 13, 1999 (23)",Indonesia,"1,74m",right,17-Jan-19,Madura United FC Youth,2024,€25k,Madura United FC
61,Karisma Ramadhany,Goalkeeper,"Nov 7, 2003 (19)",Indonesia,"1,79m",right,1-Jan-22,Persikama Magelang,2024,€10k,Madura United FC
72,Anwar Rifa'i,Defence,,Indonesia,-,,1-Jul-23,Without Club,-,-,Madura United FC
76,Alexvan Djin,Right-Back,"Dec 31, 1998 (24)",Indonesia,"1,80m",right,4-Jan-20,Persik Kediri,2024,€175k,Madura United FC
77,Malik Risaldi,Right Winger,"Oct 23, 1996 (26)",Indonesia,"1,71m",right,23-Apr-22,Persela Lamongan,2024,€150k,Madura United FC
81,Wawan Hendrawan,Goalkeeper,"Jan 8, 1983 (40)",Indonesia,"1,78m",right,6-Jul-23,RANS Nusantara FC,-,€25k,Madura United FC
88,Satria Tama,Goalkeeper,"Jan 23, 1997 (26)",Indonesia,"1,83m",right,1-Jul-23,Persebaya Surabaya,-,€125k,Madura United FC
95,Junior Brandão,Centre-Forward,"Jan 7, 1995 (28)",Brazil,"1,87m",right,1-Jul-23,Without Club,-,€300k,Madura United FC
1,Lalu Rizki,Goalkeeper,"Feb 5, 2004 (19)",Indonesia,"1,80m",,1-Jul-23,ASIFA,-,-,Persebaya Surabaya
2,Arief Catur,Right-Back,"Jul 25, 1999 (23)",Indonesia,"1,69m",right,20-Apr-22,Persikab Bandung,-,€75k,Persebaya Surabaya
3,Reva Adi,Left-Back,"Sep 1, 1996 (26)",Indonesia,"1,72m",left,1-Jul-23,Madura United FC,-,€200k,Persebaya Surabaya
5,Dusan Stevanovic,Centre-Back,"Jun 22, 1996 (27)",Serbia,"1,86m",left,1-Jul-23,FK Radnik Surdulica,30-Jun-23,€350k,Persebaya Surabaya
6,Muhammad Iqbal,Right Winger,"Oct 27, 2000 (22)",Indonesia,"1,69m",right,3-Jan-23,Without Club,-,€25k,Persebaya Surabaya
7,Ui-young Song,Attacking Midfield,"Nov 8, 1993 (29)",Singapore,"1,71m",right,1-Jul-23,Nongbua Pitchaya FC,31-May-24,€250k,Persebaya Surabaya
8,Andre Oktaviansyah,Defensive Midfield,"Oct 23, 2002 (20)",Indonesia,"1,60m",right,6-Apr-22,Persikabo 1973,-,€125k,Persebaya Surabaya
9,Paulo Victor,Centre-Forward,"Sep 13, 1994 (28)",Brazil,"1,80m",right,11-Jan-23,Visakha FC,-,€200k,Persebaya Surabaya
10,Zé Valente,Attacking Midfield,"May 14, 1994 (29)",Portugal,"1,80m",left,6-Jan-23,PSS Sleman,30-Jun-25,€300k,Persebaya Surabaya
12,Nuri Fasya,Right-Back,"Jan 23, 1999 (24)",Indonesia,"1,71m",right,1-Jul-23,FC Bekasi City,-,€75k,Persebaya Surabaya
14,Sho Yamamoto,Left Winger,"Nov 12, 1996 (26)",Japan,"1,74m",both,1-Jun-22,FK Iskra Danilovgrad,30-Apr-24,€250k,Persebaya Surabaya
15,Miftakhul Yunan,Goalkeeper,"Jun 17, 2003 (20)",Indonesia,"1,84m",,1-Jul-23,Without Club,-,-,Persebaya Surabaya
16,George Brown,Right-Back,"Jun 4, 1999 (24)",Indonesia,"1,79m",right,2-Jan-23,Without Club,31-Dec-24,€50k,Persebaya Surabaya
17,Ferdinan Sinaga,Centre-Forward,"Sep 18, 1988 (34)",Indonesia,"1,69m",left,1-Jul-23,PERSIS Solo,-,€50k,Persebaya Surabaya
18,Brylian Aldama,Central Midfield,"Feb 23, 2002 (21)",Indonesia,"1,75m",right,27-Apr-22,HNK Rijeka,-,€100k,Persebaya Surabaya
20,Wildan Ramdhani,Right Winger,"Dec 24, 1998 (24)",Indonesia,"1,70m",right,1-Jul-23,Persita Tangerang,-,€125k,Persebaya Surabaya
21,Ernando Ari,Goalkeeper,"Feb 27, 2002 (21)",Indonesia,"1,77m",right,5-Jan-20,Persebaya Surabaya Youth,31-Jan-25,€200k,Persebaya Surabaya
22,Risky Dwiyan,Defensive Midfield,"Apr 1, 1999 (24)",Indonesia,"1,70m",left,20-Apr-22,Persikab Bandung,-,€75k,Persebaya Surabaya
23,Kadek Raditya,Centre-Back,"Jun 13, 1999 (24)",Indonesia,"1,78m",right,1-Jul-23,Madura United FC,-,€150k,Persebaya Surabaya
24,Salman Alfarid,Left-Back,"Apr 16, 2002 (21)",Indonesia,"1,74m",left,21-Apr-22,Persija Jakarta,-,€50k,Persebaya Surabaya
32,Riswan Lauhim,Centre-Back,"Aug 8, 1998 (24)",Indonesia,"1,75m",both,11-Jun-22,Without Club,-,€75k,Persebaya Surabaya
36,Ripal Wahyudi,Defensive Midfield,"Oct 10, 2000 (22)",Indonesia,"1,68m",right,1-Jul-23,Bhayangkara FC,-,€50k,Persebaya Surabaya
50,Yohanes Kandaimu,Centre-Back,"Aug 12, 1995 (27)",Indonesia,"1,89m",right,1-Jul-23,Persita Tangerang,-,€150k,Persebaya Surabaya
52,Andhika Ramadhani,Goalkeeper,"Jan 5, 1999 (24)",Indonesia,"1,84m",right,26-Sep-20,Persebaya Surabaya Youth,31-Dec-25,€150k,Persebaya Surabaya
64,Aditya Arya,Goalkeeper,"Jan 1, 2004 (19)",Indonesia,"1,83m",right,10-Jul-22,Bhayangkara FC Youth,-,€25k,Persebaya Surabaya
68,Toni Firmansyah,Attacking Midfield,"Jan 16, 2005 (18)",Indonesia,"1,67m",,1-Jul-23,Persebaya Surabaya Youth,-,-,Persebaya Surabaya
73,Rifqi Arya,Left-Back,,Indonesia,-,,1-Jul-23,Internasional Banten,-,-,Persebaya Surabaya
74,Denny Agus,Right Winger,"Aug 11, 2000 (22)",Indonesia,"1,69m",right,20-Apr-22,Persikota Tangerang,-,€25k,Persebaya Surabaya
77,Kasim Botan,Right Winger,"Apr 14, 1997 (26)",Indonesia,"1,70m",right,1-Jul-23,Bhayangkara FC,-,€150k,Persebaya Surabaya
88,Alwi Slamat,Defensive Midfield,"Dec 16, 1998 (24)",Indonesia,"1,68m",left,25-Jan-19,PSMS Medan,31-Mar-23,€225k,Persebaya Surabaya
96,Muhammad Hidayat,Defensive Midfield,"Apr 26, 1996 (27)",Indonesia,"1,77m",right,22-Mar-17,Pusamania Borneo FC,31-Mar-23,€150k,Persebaya Surabaya
99,Bruno,Left Winger,"Apr 8, 1999 (24)",Brazil,"1,78m",both,1-Jul-23,Without Club,-,€250k,Persebaya Surabaya
-,Levy Madinda,Attacking Midfield,"Jun 11, 1992 (31)",Gabon,"1,82m",right,20-Jul-23,Johor Darul Ta'zim,31-Dec-23,€175k,Persib Bandung
1,Fitrul Rustapa,Goal Keeper,"Jun 5, 1995 (28)",Indonesia,"1,77m",right,18-Apr-22,Persipura Jayapura,,€150k,Persib Bandung
2,Nick Kuipers,Centre-Back,"Oct 8, 1992 (30)",Netherlands,"1,93m",right,15-Aug-19,ADO Den Haag,,€400k,Persib Bandung
4,Putu Gede,Right-Back,"Jun 7, 1995 (28)",Indonesia,"1,76m",right,1-Jul-23,Bhayangkara FC,,€200k,Persib Bandung
5,Kakang Rudianto,Center-Back,"Feb 2, 2003 (20)",Indonesia,"1,83m",right,15-Sep-20,PERSIB Bandung Youth,,€150k,Persib Bandung
6,Robi Darwis,Defensive Midfield,"Aug 2, 2003 (19)",Indonesia,"1,70m",right,1-May-22,PERSIB Bandung Youth,,€100k,Persib Bandung
7,Beckham Putra,Attacking Midfield,"Oct 29, 2001 (21)",Indonesia,"1,73m",right,1-Jan-19,PERSIB Bandung Youth,,€250k,Persib Bandung
8,Abdul Aziz,Centre Midfield,"Feb 14, 1994 (29)",Indonesia,"1,72m",right,8-Jan-19,PSMS Medan,,€125k,Persib Bandung
9,Ezra Walian,Left Winger,"Oct 22, 1997 (25)",Indonesia,"1,85m",right,14-Mar-21,PSM Makassar,,€275k,Persib Bandung
11,Dedi Kusnandar,Defensive Midfield,"Jul 23, 1991 (31)",Indonesia,"1,75m",right,26-Dec-16,Sabah FC,,€175k,Persib Bandung
13,Febri Hariyadi,Right Winger,"Feb 19, 1996 (27)",Indonesia,"1,68m",both,1-Jan-16,PERSIB Bandung Youth,,€225k,Persib Bandung
14,Teja Paku Alam,Goal Keeper,"Mar 14, 1994 (29)",Indonesia,"1,77m",right,16-Jan-20,Semen Padang FC,,€225k,Persib Bandung
16,Achmad Jufriyanto,Centre-Back,"Feb 7, 1987 (36)",Indonesia,"1,82m",right,18-Apr-19,Kuala Lumpur City FC,,€75k,Persib Bandung
17,Sheva Sanggasi,Goalkeeper,,Indonesia,,,1-Jul-23,PERSIB Bandung Youth,-,-,Persib Bandung
18,Ferdiansyah,Right Winger,"Jul 15, 2003 (19)",Indonesia,"1,72m",right,29-Aug-21,PERSIB Bandung Youth,,€100k,Persib Bandung
19,David da Silva,Centre-Forward,"Nov 12, 1989 (33)",Brazil,"1,85m",right,15-Dec-21,Terengganu FC,,€225k,Persib Bandung
20,Eriyanto,Right-Back,"Mar 12, 1996 (27)",Indonesia,"1,73m",right,25-Apr-22,PERSIS Solo,,€75k,Persib Bandung
21,Frets Butuan,Left Winger,"Jun 4, 1996 (27)",Indonesia,"1,67m",right,13-Jan-19,PSMS Medan,,€200k,Persib Bandung
22,Alberto Rodriguez,Center-Back,"Dec 31, 1992 (30)",Spain,"1,91m",both,1-Jul-23,CD Lugo,,€300k,Persib Bandung
23,Marc Klok,Center Midfield,"Apr 20, 1993 (30)",Indonesia,"1,77m",right,30-Jun-21,Persija Jakarta,,€475k,Persib Bandung
27,Zalnando,Left-Back,"Dec 25, 1996 (26)",Indonesia,"1,76m",left,16-Jan-19,Sriwijaya FC,,€125k,Persib Bandung
32,Victor Igbonefo,Centre-Back,"Oct 10, 1985 (37)",Indonesia,"1,83m",right,1-Jan-20,PTT Rayong (1998-2019),,€50k,Persib Bandung
34,Reky Rahayu,Goal Keeper,"May 8, 1993 (30)",Indonesia,"1,76m",right,28-May-22,Kalteng Putra FC,,€100k,Persib Bandung
53,Rachmat Irianto,Centre-Back,"Sep 3, 1999 (23)",Indonesia,"1,75m",right,5-Apr-22,Persebaya Surabaya,,€325k,Persib Bandung
56,Rezaldi Hehanusa,Left-Back,"Nov 7, 1995 (27)",Indonesia,"1,78m",left,26-Jan-23,Persija Jakarta,,€150k,Persib Bandung
66,Daisuke Sato,Left-Back,"Sep 20, 1994 (28)",Philippines,"1,70m",left,10-Jun-22,Ratchaburi FC,,€200k,Persib Bandung
70,Arsan Makarin,Right Winger,"Feb 8, 2001 (22)",Indonesia,"1,66m",,25-Apr-22,Bandung United FC,,€50k,Persib Bandung
77,Ciro Alves,Right Winger,"Apr 18, 1989 (34)",Brazil,"1,75m",right,13-Apr-22,Persikabo 1973,,€350k,Persib Bandung
96,Ryan Kurnia,Right Winger,"Jun 28, 1996 (27)",Indonesia,"1,80m",right,1-Jul-23,Persikabo 1973,,€150k,Persib Bandung
97,Edo Febriansyah,Left-Back,"Jul 25, 1997 (25)",Indonesia,"1,73m",left,1-Jul-23,RANS Nusantara FC,,€225k,Persib Bandung
99,Ridwan Ansori,Centre-Forward,"Feb 13, 2004 (19)",Indonesia,"1,74m",left,7-Feb-22,PERSIB Bandung Youth,,€25k,Persib Bandung
2,Rio Fahmi,Right-Back,"Oct 6, 2001 (21)",Indonesia,"1,70m",right,1-Aug-21,Persija Jakarta Youth,30-Jun-25,€225k,Persija Jakarta
5,Dandi Maulana,Centre-Back,"Jun 17, 1998 (25)",Indonesia,"1,75m",right,4-Jan-23,Persebaya Surabaya,-,€150k,Persija Jakarta
6,Tony Sucipto,Defensive Midfield,"Feb 12, 1986 (37)",Indonesia,"1,68m",left,18-Jan-19,PERSIB Bandung,31-Mar-23,€10k,Persija Jakarta
7,Ryo Matsumura,Attacking Midfield,"Jun 15, 1994 (29)",Japan,"1,66m",right,1-Jul-23,BG Pathum United,31-May-26,€275k,Persija Jakarta
8,Syahrian Abimanyu,Central Midfield,"Apr 25, 1999 (24)",Indonesia,"1,71m",left,12-Jan-22,Johor Darul Ta'zim,30-Jun-24,€225k,Persija Jakarta
9,Marko Simic,Centre-Forward,"Jan 23, 1988 (35)",Croatia,"1,87m",both,1-Jul-23,Without Club,2025,€100k,Persija Jakarta
10,Maciej Gajos,Attacking Midfield,"Mar 19, 1991 (32)",Poland,"1,74m",right,14-Jul-23,Lechia Gdansk,30-Jun-25,€250k,Persija Jakarta
11,Firza Andika,Left-Back,"May 11, 1999 (24)",Indonesia,"1,69m",left,3-Apr-22,Persikabo 1973,30-Jun-25,€200k,Persija Jakarta
13,Adre Arido,Goalkeeper,"Aug 13, 2003 (19)",Indonesia,"1,85m",right,23-Jun-22,Persija Jakarta Youth,-,€25k,Persija Jakarta
17,Ondrej Kudela,Centre-Back,"Mar 26, 1987 (36)",Czech Republic,"1,82m",right,1-Jul-22,SK Slavia Prague,30-Jun-25,€350k,Persija Jakarta
19,Hanif Sjahbandi,Defensive Midfield,"Apr 7, 1997 (26)",Indonesia,"1,81m",right,3-Apr-22,Arema FC,31-Mar-24,€225k,Persija Jakarta
21,Alfriyanto Nico,Right Winger,"Apr 3, 2003 (20)",Indonesia,"1,72m",right,20-Aug-20,Persija Jakarta Youth,-,€150k,Persija Jakarta
22,Oliver Bias,Right Winger,"Jun 15, 2001 (22)",Philippines,"1,64m",both,20-Jul-23,FK Pribram,30-Jun-24,€75k,Persija Jakarta
23,Hansamu Yama,Centre-Back,"Jan 16, 1995 (28)",Indonesia,"1,81m",right,6-Apr-22,Bhayangkara FC,31-May-25,€250k,Persija Jakarta
24,Resky Fandi,Defensive Midfield,"Sep 6, 1999 (23)",Indonesia,"1,73m",right,7-Jan-19,Martapura FC,30-Jun-25,€175k,Persija Jakarta
25,Riko Simanjuntak,Right Winger,"Jan 26, 1992 (31)",Indonesia,"1,58m",right,1-Feb-18,Semen Padang FC,30-Jun-26,€225k,Persija Jakarta
26,Andritany,Goalkeeper,"Dec 26, 1991 (31)",Indonesia,"1,78m",right,1-Jul-10,Sriwijaya FC,30-Jun-26,€250k,Persija Jakarta
33,Akbar Arjunsyah,Centre-Back,"Jul 21, 2001 (21)",Indonesia,"1,75m",right,1-Jul-23,Gresik United FC,30-Jun-25,-,Persija Jakarta
41,Muhammad Ferarri,Centre-Back,"Jun 21, 2003 (20)",Indonesia,"1,79m",right,20-Aug-20,Persija Jakarta Youth,30-Jun-25,€175k,Persija Jakarta
50,Cahya Supriadi,Goalkeeper,"Feb 11, 2003 (20)",Indonesia,"1,79m",right,18-Mar-21,Persija Jakarta Youth,-,€125k,Persija Jakarta
56,Maman Abdurahman,Centre-Back,"May 12, 1982 (41)",Indonesia,"1,77m",right,1-Jul-15,Persita Tangerang,31-Mar-23,€10k,Persija Jakarta
57,Amar Fadzillah,Midfield,"Feb 8, 2002 (21)",Indonesia,"1,70m",left,1-Jul-23,Persija Jakarta Youth,-,-,Persija Jakarta
58,Rayhan Hannan,Attacking Midfield,"Apr 2, 2004 (19)",Indonesia,-,right,-,,-,€25k,Persija Jakarta
73,Sandi Samosir,Left Winger,"Jan 8, 2002 (21)",Indonesia,"1,80m",left,30-Jan-23,Persija Jakarta Youth,-,€50k,Persija Jakarta
74,Rizky Ridho,Centre-Back,"Nov 21, 2001 (21)",Indonesia,"1,83m",right,1-Jul-23,Persebaya Surabaya,30-Jun-26,€325k,Persija Jakarta
77,Dony Tri Pamungkas,Attacking Midfield,"Jan 11, 2005 (18)",Indonesia,"1,77m",left,1-Sep-21,Persija Jakarta Youth,30-Jun-25,€125k,Persija Jakarta
78,Witan,Right Winger,"Oct 8, 2001 (21)",Indonesia,"1,70m",left,30-Jan-23,AS Trencin,31-May-26,€200k,Persija Jakarta
99,Aji Kusuma,Centre-Forward,"Jan 30, 1999 (24)",Indonesia,"1,76m",right,12-Jan-23,Persiba Balikpapan,-,€100k,Persija Jakarta
2,Anderson,Centre-Back,"Mar 4, 1993 (30)",Brazil,"1,83m",,26-Jan-23,Alki Oroklini,30-Jun-24,€150k,Persik Kediri
6,Bayu Otto,Attacking Midfield,"Oct 15, 1999 (23)",Indonesia,"1,63m",right,1-Jan-17,Persedikab Kediri,30-Apr-24,€150k,Persik Kediri
7,Yusuf Meilana,Left-Back,"May 4, 1998 (25)",Indonesia,"1,76m",both,1-Jan-17,Persekat Tegal,30-Apr-24,€150k,Persik Kediri
8,Arthur Irawan,Defensive Midfield,"Mar 3, 1993 (30)",Indonesia,"1,76m",right,15-Dec-21,PSS Sleman,-,€125k,Persik Kediri
9,Jefinho,Centre-Forward,"May 25, 1994 (29)",Brazil,"1,90m",right,11-Jul-23,Nejmeh SC,-,€150k,Persik Kediri
10,Renan Silva,Attacking Midfield,"Jan 2, 1989 (34)",Brazil,"1,76m",left,12-Apr-22,Madura United FC,-,€250k,Persik Kediri
11,Adi Eko,Central Midfield,"Jan 18, 1994 (29)",Indonesia,"1,73m",right,1-Jan-18,Persedikab Kediri,30-Jun-24,€125k,Persik Kediri
13,Faris Aditama,Left Winger,"Feb 19, 1988 (35)",Indonesia,"1,75m",left,1-Apr-19,Madura FC,30-Jun-24,€25k,Persik Kediri
14,Miftahul Hamdi,Right Winger,"Dec 13, 1995 (27)",Indonesia,"1,74m",right,12-Jan-23,PSS Sleman,-,€175k,Persik Kediri
16,Hamra Hehanusa,Left-Back,"Jul 1, 1999 (24)",Indonesia,"1,78m",left,9-Jan-23,Persija Jakarta,30-Jun-24,€75k,Persik Kediri
17,Yohanes Pahabol,Left Winger,"Jan 16, 1992 (31)",Indonesia,"1,63m",left,20-May-22,Persipura Jayapura,-,€125k,Persik Kediri
20,Simen Lyngbø,Right-Back,"Feb 18, 1998 (25)",Philippines,"1,77m",both,1-Jul-23,Without Club,-,€125k,Persik Kediri
22,Riyatno Abiyoso,Left Winger,"Jan 18, 1999 (24)",Indonesia,"1,65m",left,11-Apr-22,Persela Lamongan,30-Apr-24,€175k,Persik Kediri
23,Gunawan Dwi Cahyo,Centre-Back,"Apr 20, 1989 (34)",Indonesia,"1,82m",right,1-Jul-23,Bali United FC,-,€25k,Persik Kediri
24,Ahmad Agung,Defensive Midfield,"Mar 9, 1996 (27)",Indonesia,"1,80m",right,1-Jul-23,Bali United FC,-,€150k,Persik Kediri
27,Fitra Ridwan,Central Midfield,"Mar 16, 1994 (29)",Indonesia,"1,69m",right,1-Jan-22,PSS Sleman,-,€100k,Persik Kediri
30,Rendy Juliansyah,Attacking Midfield,"Jul 27, 2002 (20)",Indonesia,"1,65m",right,25-May-22,Sulut United FC,30-Jun-24,€75k,Persik Kediri
31,Dikri Yusron,Goalkeeper,"Jan 8, 1995 (28)",Indonesia,"1,78m",right,8-Mar-21,Badak Lampung FC,30-Jun-24,€100k,Persik Kediri
32,Rohit Chand,Central Midfield,"Mar 1, 1992 (31)",Nepal,"1,78m",left,22-May-22,Persija Jakarta,31-May-24,€300k,Persik Kediri
37,Agil Munawar,Right-Back,"Jun 10, 1996 (27)",Indonesia,"1,69m",right,29-Apr-21,Without Club,30-Apr-24,€150k,Persik Kediri
39,Jeam Kelly Sroyer,Centre-Forward,"Dec 11, 2002 (20)",Indonesia,"1,68m",right,5-Jan-22,PSBS Biak,-,€100k,Persik Kediri
54,Supriadi,Right Winger,"May 23, 2002 (21)",Indonesia,"1,64m",right,1-Jul-23,Persebaya Surabaya,-,€100k,Persik Kediri
66,Eko Saputro,Goalkeeper,"Mar 27, 1999 (24)",Indonesia,"1,82m",right,1-Jul-23,Persikab Bandung,-,-,Persik Kediri
69,Rangga Widiansyah,Left-Back,"Apr 24, 2002 (21)",Indonesia,"1,66m",left,7-Jan-23,Persija Jakarta,-,€50k,Persik Kediri
77,Flávio Silva,Right Winger,"Apr 3, 1996 (27)",Portugal,"1,84m",right,11-Jan-23,FC Mondercange,-,€150k,Persik Kediri
78,Mario Yagalo,Centre-Back,"Apr 21, 1993 (30)",Indonesia,"1,84m",left,17-Jan-20,TIRA-Persikabo,31-May-24,€150k,Persik Kediri
86,Muhammad Taufiq,Defensive Midfield,"Nov 29, 1986 (36)",Indonesia,"1,67m",right,20-Apr-22,Bali United FC,-,€10k,Persik Kediri
88,Hary Nasution,Centre-Back,"Feb 16, 2000 (23)",Indonesia,-,right,1-Jul-23,Persela Lamongan,-,€10k,Persik Kediri
96,Kartika Ajie,Goalkeeper,"Jun 20, 1996 (27)",Indonesia,"1,82m",right,14-Apr-22,Arema FC,-,€100k,Persik Kediri
97,Mohammad Khanafi,Centre-Forward,"Nov 30, 1997 (25)",Indonesia,"1,71m",,30-Jan-23,Persedikab Kediri,30-Apr-25,€50k,Persik Kediri
4,Syahrul Lasinari,Centre-Back,"Dec 24, 1999 (23)",Indonesia,"1,75m",right,11-Jun-22,FC Bekasi City,2024,€125k,Persikabo 1973
5,Iman Fathurahman,Defensive Midfield,"May 31, 1994 (29)",Indonesia,"1,75m",right,1-Jul-23,Persikab Bandung,-,€25k,Persikabo 1973
6,Jovanni Renaldi,Defensive Midfield,"Jun 8, 2003 (20)",Indonesia,"1,78m",right,11-Jun-22,ASIOP FC,2024,€25k,Persikabo 1973
7,Kaishu Yamazaki,Defensive Midfield,"Jul 12, 1997 (25)",Japan,"1,82m",right,1-Jul-23,Mosta FC,-,€100k,Persikabo 1973
8,Reza Irfana,Central Midfield,"Jul 9, 1999 (23)",Indonesia,"1,76m",right,1-Jul-23,PSIS Semarang,-,€125k,Persikabo 1973
9,Komarodin,Right Winger,"Jul 19, 1995 (27)",Indonesia,"1,67m",right,22-Jan-23,PSS Sleman,2024,€125k,Persikabo 1973
10,Guntur Triaji,Central Midfield,"Jul 30, 1993 (29)",Indonesia,"1,68m",left,30-Jan-23,PSIS Semarang,2024,€100k,Persikabo 1973
11,José Varela,Right Winger,"Sep 15, 1997 (25)",Cape Verde,"1,68m",right,1-Jul-23,Vitória Setúbal FC,-,-,Persikabo 1973
12,Roni Sugeng,Attacking Midfield,"Apr 18, 1998 (25)",Indonesia,"1,70m",right,1-Jan-16,PS TNI Youth,31-Dec-24,€175k,Persikabo 1973
13,Didik Wahyu,Centre-Back,"Feb 13, 1994 (29)",Indonesia,"1,73m",right,4-Jan-18,PSIR Rembang,2024,€125k,Persikabo 1973
14,Rafael Conrado,Centre-Forward,"Jan 14, 1995 (28)",Brazil,"1,89m",right,5-Jul-23,Qala Saints FC,-,-,Persikabo 1973
15,Nikola Kovacevic,Defensive Midfield,"Apr 14, 1994 (29)",Serbia,"1,92m",right,1-Jul-23,Al-Nasr Benghazi,-,€150k,Persikabo 1973
16,Zaenuri Azhar,Goalkeeper,,Indonesia,-,,1-Jul-23,Persikabo 1973 Youth,-,-,Persikabo 1973
17,Kainoa Bailey,Left Winger,"Aug 2, 1995 (27)",Philippines,"1,77m",right,1-Jul-23,Stallion Laguna FC,31-May-24,-,Persikabo 1973
18,Kemaluddin,Defensive Midfield,"Apr 28, 1999 (24)",Indonesia,"1,67m",both,8-Jun-22,Without Club,2024,€75k,Persikabo 1973
20,Mochammad Dicky,Goalkeeper,"Jun 4, 1997 (26)",Indonesia,"1,85m",right,16-Mar-21,Borneo FC Samarinda,-,€125k,Persikabo 1973
22,Munadi,Defensive Midfield,"Jan 25, 1989 (34)",Indonesia,"1,69m",right,1-Jan-19,Lampung Sakti FC (- 2019),2024,€25k,Persikabo 1973
25,Alfin Tuasalamony,Right-Back,"May 17, 1993 (30)",Indonesia,"1,77m",right,30-Jan-23,RANS Nusantara FC,30-Jun-24,€150k,Persikabo 1973
26,Syahrul Trisna,Goalkeeper,"Nov 26, 1995 (27)",Indonesia,"1,80m",right,1-Jan-18,PSS Sleman,-,€175k,Persikabo 1973
27,Shofa Selantika,Left-Back,"Dec 24, 2002 (20)",Indonesia,-,right,2-Jul-23,PSISa Salatiga,-,-,Persikabo 1973
28,Lucky Oktavianto,Right-Back,"Oct 5, 1993 (29)",Indonesia,"1,65m",right,9-Jan-22,PS Mitra Kukar,2024,€125k,Persikabo 1973
31,Krisna Jhon,Left Winger,"May 31, 2006 (17)",Indonesia,"1,71m",,12-Jan-23,Persikabo 1973 Youth,-,€25k,Persikabo 1973
33,Husna Al Malik,Goalkeeper,"Jun 13, 2003 (20)",Indonesia,"1,78m",,1-Jul-22,FC Bekasi City,2024,€50k,Persikabo 1973
34,Andy Setyo,Centre-Back,"Sep 16, 1997 (25)",Indonesia,"1,80m",right,1-Jan-17,Pusamania Borneo FC Youth,-,€175k,Persikabo 1973
58,Frengky Missa,Left-Back,"Feb 20, 2004 (19)",Indonesia,"1,68m",left,1-Jul-23,Persija Jakarta,30-Jun-24,€100k,Persikabo 1973
66,Syamsul Rifai,Defensive Midfield,,Indonesia,-,,1-Jul-23,Persikabo 1973 Youth,-,-,Persikabo 1973
69,Manahati Lestusen,Defensive Midfield,"Dec 17, 1993 (29)",Indonesia,"1,68m",right,1-Jul-15,PS Barito Putera,2024,€200k,Persikabo 1973
77,Rizki Hidayat,Attacking Midfield,"Jul 3, 1997 (26)",Indonesia,"1,74m",right,2-Jul-23,Persijap Jepara,-,€50k,Persikabo 1973
80,Yudha Febrian,Left-Back,"Feb 13, 2002 (21)",Indonesia,"1,75m",left,1-Jul-23,PSGC Ciamis,-,€50k,Persikabo 1973
87,Fathul Ihsan,Centre-Back,"Oct 26, 2002 (20)",Indonesia,"1,83m",right,2-Jul-23,PSIS Semarang,-,€25k,Persikabo 1973
93,Pedrinho,Attacking Midfield,"Jun 18, 1993 (30)",Brazil,"1,72m",right,1-Jul-23,Ghajnsielem FC,-,-,Persikabo 1973
97,Dimas Drajad,Centre-Forward,"Mar 30, 1997 (26)",Indonesia,"1,78m",right,1-Apr-16,PS TNI Youth,28-Feb-27,€225k,Persikabo 1973
99,Yandi Sofyan,Centre-Forward,"May 25, 1992 (31)",Indonesia,"1,76m",right,26-May-22,Persikota Tangerang,16-Jul-05,€75k,Persikabo 1973
1,Muhamad Riyandi,Goalkeeper,"Jan 3, 2000 (23)",Indonesia,"1,81m",right,19-May-22,PS Barito Putera,31-May-26,€250k,Persis Solo
